scenario,dest,year,age,nativity,pop
benchmark,AUT,2015,0,eu,10033
benchmark,AUT,2015,0,native,389517
benchmark,AUT,2015,0,non-eu,6146
benchmark,AUT,2015,5,eu,16104
benchmark,AUT,2015,5,native,375800
benchmark,AUT,2015,5,non-eu,11496
benchmark,AUT,2015,10,eu,17039
benchmark,AUT,2015,10,native,378413
benchmark,AUT,2015,10,non-eu,19332
benchmark,AUT,2015,15,eu,18095
benchmark,AUT,2015,15,native,408696
benchmark,AUT,2015,15,non-eu,29781
benchmark,AUT,2015,20,eu,41008
benchmark,AUT,2015,20,native,450185
benchmark,AUT,2015,20,non-eu,49681
benchmark,AUT,2015,25,eu,61955
benchmark,AUT,2015,25,native,416729
benchmark,AUT,2015,25,non-eu,77716
benchmark,AUT,2015,30,eu,65817
benchmark,AUT,2015,30,native,427590
benchmark,AUT,2015,30,non-eu,78981
benchmark,AUT,2015,35,eu,63186
benchmark,AUT,2015,35,native,397315
benchmark,AUT,2015,35,non-eu,73418
benchmark,AUT,2015,40,eu,57197
benchmark,AUT,2015,40,native,463239
benchmark,AUT,2015,40,non-eu,79438
benchmark,AUT,2015,45,eu,55454
benchmark,AUT,2015,45,native,561988
benchmark,AUT,2015,45,non-eu,80700
benchmark,AUT,2015,50,eu,45327
benchmark,AUT,2015,50,native,571999
benchmark,AUT,2015,50,non-eu,67956
benchmark,AUT,2015,55,eu,38528
benchmark,AUT,2015,55,native,485320
benchmark,AUT,2015,55,non-eu,53176
benchmark,AUT,2015,60,eu,32984
benchmark,AUT,2015,60,native,390567
benchmark,AUT,2015,60,non-eu,47500
benchmark,AUT,2015,65,eu,29767
benchmark,AUT,2015,65,native,363562
benchmark,AUT,2015,65,non-eu,29707
benchmark,AUT,2015,70,eu,39602
benchmark,AUT,2015,70,native,369216
benchmark,AUT,2015,70,non-eu,16434
benchmark,AUT,2015,75,eu,25846
benchmark,AUT,2015,75,native,265614
benchmark,AUT,2015,75,non-eu,9939
benchmark,AUT,2015,80,eu,15783
benchmark,AUT,2015,80,native,192932
benchmark,AUT,2015,80,non-eu,5650
benchmark,AUT,2015,85,eu,10675
benchmark,AUT,2015,85,native,128197
benchmark,AUT,2015,85,non-eu,2693
benchmark,AUT,2015,90,eu,6759
benchmark,AUT,2015,90,native,54779
benchmark,AUT,2015,90,non-eu,963
benchmark,AUT,2015,95,eu,1058
benchmark,AUT,2015,95,native,7458
benchmark,AUT,2015,95,non-eu,129
benchmark,AUT,2015,100,eu,157
benchmark,AUT,2015,100,native,1210
benchmark,AUT,2015,100,non-eu,19
benchmark,AUT,2020,0,eu,4266
benchmark,AUT,2020,0,native,399638
benchmark,AUT,2020,0,non-eu,14846
benchmark,AUT,2020,5,eu,14296
benchmark,AUT,2020,5,native,387371
benchmark,AUT,2020,5,non-eu,20984
benchmark,AUT,2020,10,eu,19972
benchmark,AUT,2020,10,native,373674
benchmark,AUT,2020,10,non-eu,25306
benchmark,AUT,2020,15,eu,20857
benchmark,AUT,2020,15,native,376191
benchmark,AUT,2020,15,non-eu,32819
benchmark,AUT,2020,20,eu,21838
benchmark,AUT,2020,20,native,405572
benchmark,AUT,2020,20,non-eu,41843
benchmark,AUT,2020,25,eu,42784
benchmark,AUT,2020,25,native,446989
benchmark,AUT,2020,25,non-eu,59245
benchmark,AUT,2020,30,eu,61694
benchmark,AUT,2020,30,native,414066
benchmark,AUT,2020,30,non-eu,84439
benchmark,AUT,2020,35,eu,64079
benchmark,AUT,2020,35,native,424604
benchmark,AUT,2020,35,non-eu,84489
benchmark,AUT,2020,40,eu,62464
benchmark,AUT,2020,40,native,394297
benchmark,AUT,2020,40,non-eu,78701
benchmark,AUT,2020,45,eu,57539
benchmark,AUT,2020,45,native,458417
benchmark,AUT,2020,45,non-eu,82591
benchmark,AUT,2020,50,eu,55783
benchmark,AUT,2020,50,native,552877
benchmark,AUT,2020,50,non-eu,82018
benchmark,AUT,2020,55,eu,46104
benchmark,AUT,2020,55,native,558543
benchmark,AUT,2020,55,non-eu,70573
benchmark,AUT,2020,60,eu,40255
benchmark,AUT,2020,60,native,469911
benchmark,AUT,2020,60,non-eu,56654
