scenario,dest,year,age,sex,pop
benchmark,AUT,2015,0,f,196564
benchmark,AUT,2015,0,m,209132
benchmark,AUT,2015,5,f,197032
benchmark,AUT,2015,5,m,206368
benchmark,AUT,2015,10,f,201964
benchmark,AUT,2015,10,m,212820
benchmark,AUT,2015,15,f,222070
benchmark,AUT,2015,15,m,234502
benchmark,AUT,2015,20,f,264797
benchmark,AUT,2015,20,m,276077
benchmark,AUT,2015,25,f,275291
benchmark,AUT,2015,25,m,281109
benchmark,AUT,2015,30,f,285126
benchmark,AUT,2015,30,m,287262
benchmark,AUT,2015,35,f,266510
benchmark,AUT,2015,35,m,267409
benchmark,AUT,2015,40,f,302808
benchmark,AUT,2015,40,m,297066
benchmark,AUT,2015,45,f,347582
benchmark,AUT,2015,45,m,350560
benchmark,AUT,2015,50,f,341847
benchmark,AUT,2015,50,m,343435
benchmark,AUT,2015,55,f,292813
benchmark,AUT,2015,55,m,284211
benchmark,AUT,2015,60,f,243963
benchmark,AUT,2015,60,m,227088
benchmark,AUT,2015,65,f,223462
benchmark,AUT,2015,65,m,199574
benchmark,AUT,2015,70,f,231133
benchmark,AUT,2015,70,m,194119
benchmark,AUT,2015,75,f,169639
benchmark,AUT,2015,75,m,131760
benchmark,AUT,2015,80,f,130201
benchmark,AUT,2015,80,m,84164
benchmark,AUT,2015,85,f,94977
benchmark,AUT,2015,85,m,46588
benchmark,AUT,2015,90,f,47730
benchmark,AUT,2015,90,m,14771
benchmark,AUT,2015,95,f,6955
benchmark,AUT,2015,95,m,1690
benchmark,AUT,2015,100,f,1148
benchmark,AUT,2015,100,m,238
benchmark,AUT,2020,0,f,203757
benchmark,AUT,2020,0,m,214993
benchmark,AUT,2020,5,f,204528
benchmark,AUT,2020,5,m,218123
benchmark,AUT,2020,10,f,204319
benchmark,AUT,2020,10,m,214633
benchmark,AUT,2020,15,f,209030
benchmark,AUT,2020,15,m,220837
benchmark,AUT,2020,20,f,228478
benchmark,AUT,2020,20,m,240775
benchmark,AUT,2020,25,f,268897
benchmark,AUT,2020,25,m,280121
benchmark,AUT,2020,30,f,277033
benchmark,AUT,2020,30,m,283166
benchmark,AUT,2020,35,f,285207
benchmark,AUT,2020,35,m,287965
benchmark,AUT,2020,40,f,266954
benchmark,AUT,2020,40,m,268508
benchmark,AUT,2020,45,f,301857
benchmark,AUT,2020,45,m,296690
benchmark,AUT,2020,50,f,345192
benchmark,AUT,2020,50,m,345486
benchmark,AUT,2020,55,f,339423
benchmark,AUT,2020,55,m,335797
benchmark,AUT,2020,60,f,290764
benchmark,AUT,2020,60,m,276056
benchmark,AUT,2020,65,f,241099
benchmark,AUT,2020,65,m,217570
benchmark,AUT,2020,70,f,217613
benchmark,AUT,2020,70,m,186256
benchmark,AUT,2020,75,f,211468
benchmark,AUT,2020,75,m,167789
benchmark,AUT,2020,80,f,142227
benchmark,AUT,2020,80,m,101731
benchmark,AUT,2020,85,f,90860
benchmark,AUT,2020,85,m,52967
benchmark,AUT,2020,90,f,47227
benchmark,AUT,2020,90,m,20632
benchmark,AUT,2020,95,f,14124
benchmark,AUT,2020,95,m,4441
benchmark,AUT,2020,100,f,1914
benchmark,AUT,2020,100,m,1150
benchmark,AUT,2025,0,f,196788
benchmark,AUT,2025,0,m,207697
benchmark,AUT,2025,5,f,212170
benchmark,AUT,2025,5,m,224443
benchmark,AUT,2025,10,f,212098
benchmark,AUT,2025,10,m,226562
benchmark,AUT,2025,15,f,211717
benchmark,AUT,2025,15,m,222785
benchmark,AUT,2025,20,f,215552
benchmark,AUT,2025,20,m,227813
benchmark,AUT,2025,25,f,234497
benchmark,AUT,2025,25,m,246747
benchmark,AUT,2025,30,f,272829
benchmark,AUT,2025,30,m,284108
benchmark,AUT,2025,35,f,277952
benchmark,AUT,2025,35,m,284425
benchmark,AUT,2025,40,f,285276
benchmark,AUT,2025,40,m,288399
benchmark,AUT,2025,45,f,267082
benchmark,AUT,2025,45,m,268820
benchmark,AUT,2025,50,f,300342
benchmark,AUT,2025,50,m,295174
benchmark,AUT,2025,55,f,341573
benchmark,AUT,2025,55,m,338489
benchmark,AUT,2025,60,f,334495
benchmark,AUT,2025,60,m,324455
benchmark,AUT,2025,65,f,284376
benchmark,AUT,2025,65,m,261972
benchmark,AUT,2025,70,f,232227
benchmark,AUT,2025,70,m,200367
benchmark,AUT,2025,75,f,201507
benchmark,AUT,2025,75,m,162054
benchmark,AUT,2025,80,f,181771
benchmark,AUT,2025,80,m,131505
benchmark,AUT,2025,85,f,103055
benchmark,AUT,2025,85,m,64360
benchmark,AUT,2025,90,f,47409
benchmark,AUT,2025,90,m,23609
benchmark,AUT,2025,95,f,14402
benchmark,AUT,2025,95,m,5615
benchmark,AUT,2025,100,f,2705
benchmark,AUT,2025,100,m,1341
benchmark,AUT,2030,0,f,185308
benchmark,AUT,2030,0,m,196189
benchmark,AUT,2030,5,f,205515
benchmark,AUT,2030,5,m,217808
benchmark,AUT,2030,10,f,219970
benchmark,AUT,2030,10,m,233162
benchmark,AUT,2030,15,f,219598
benchmark,AUT,2030,15,m,234762
benchmark,AUT,2030,20,f,218410
benchmark,AUT,2030,20,m,229879
benchmark,AUT,2030,25,f,221493
benchmark,AUT,2030,25,m,234016
benchmark,AUT,2030,30,f,239981
benchmark,AUT,2030,30,m,252162
benchmark,AUT,2030,35,f,276139
benchmark,AUT,2030,35,m,287360
benchmark,AUT,2030,40,f,278660
benchmark,AUT,2030,40,m,285289
benchmark,AUT,2030,45,f,285130
benchmark,AUT,2030,45,m,288084
benchmark,AUT,2030,50,f,266548
benchmark,AUT,2030,50,m,267793
benchmark,AUT,2030,55,f,297698
benchmark,AUT,2030,55,m,290917
benchmark,AUT,2030,60,f,336121
benchmark,AUT,2030,60,m,327285
benchmark,AUT,2030,65,f,326424
benchmark,AUT,2030,65,m,307413
benchmark,AUT,2030,70,f,273843
benchmark,AUT,2030,70,m,241553
benchmark,AUT,2030,75,f,215709
benchmark,AUT,2030,75,m,175901
benchmark,AUT,2030,80,f,177934
benchmark,AUT,2030,80,m,131925
benchmark,AUT,2030,85,f,135768
benchmark,AUT,2030,85,m,86389
benchmark,AUT,2030,90,f,55765
benchmark,AUT,2030,90,m,29527
benchmark,AUT,2030,95,f,15217
benchmark,AUT,2030,95,m,6681
benchmark,AUT,2030,100,f,2912
benchmark,AUT,2030,100,m,1500
benchmark,AUT,2035,0,f,177371
benchmark,AUT,2035,0,m,188148
