scenario,dest,year,edu,pop
benchmark,AUT,2015,1,1226494
benchmark,AUT,2015,2,30289
benchmark,AUT,2015,3,570983
benchmark,AUT,2015,4,1362863
benchmark,AUT,2015,5,3458357
benchmark,AUT,2015,6,1844569
benchmark,AUT,2020,1,877985
benchmark,AUT,2020,2,32362
benchmark,AUT,2020,3,470473
benchmark,AUT,2020,4,1303472
benchmark,AUT,2020,5,3758644
benchmark,AUT,2020,6,2184721
benchmark,AUT,2025,1,488235
benchmark,AUT,2025,2,37655
benchmark,AUT,2025,3,402998
benchmark,AUT,2025,4,1361923
benchmark,AUT,2025,5,3937082
benchmark,AUT,2025,6,2492670
benchmark,AUT,2030,1,66294
benchmark,AUT,2030,2,43267
benchmark,AUT,2030,3,340474
benchmark,AUT,2030,4,1367264
benchmark,AUT,2030,5,4121934
benchmark,AUT,2030,6,2840505
benchmark,AUT,2035,1,64088
benchmark,AUT,2035,2,47285
benchmark,AUT,2035,3,283478
benchmark,AUT,2035,4,1290240
benchmark,AUT,2035,5,4091710
benchmark,AUT,2035,6,3039581
benchmark,AUT,2040,1,75719
benchmark,AUT,2040,2,52050
benchmark,AUT,2040,3,244290
benchmark,AUT,2040,4,1194247
benchmark,AUT,2040,5,4030784
benchmark,AUT,2040,6,3255958
benchmark,AUT,2045,1,86558
benchmark,AUT,2045,2,58112
benchmark,AUT,2045,3,224243
benchmark,AUT,2045,4,1100262
benchmark,AUT,2045,5,3946646
benchmark,AUT,2045,6,3489582
benchmark,AUT,2050,1,96809
benchmark,AUT,2050,2,65083
benchmark,AUT,2050,3,217499
benchmark,AUT,2050,4,1014863
benchmark,AUT,2050,5,3845257
benchmark,AUT,2050,6,3731447
benchmark,BEL,2015,1,1912702
benchmark,BEL,2015,2,234283
benchmark,BEL,2015,3,1039957
benchmark,BEL,2015,4,2245871
benchmark,BEL,2015,5,2662796
benchmark,BEL,2015,6,2623791
benchmark,BEL,2020,1,1427083
benchmark,BEL,2020,2,212304
benchmark,BEL,2020,3,922863
benchmark,BEL,2020,4,2354725
benchmark,BEL,2020,5,3180945
benchmark,BEL,2020,6,2958528
benchmark,BEL,2025,1,826444
benchmark,BEL,2025,2,204901
benchmark,BEL,2025,3,855638
benchmark,BEL,2025,4,2282847
benchmark,BEL,2025,5,3762304
benchmark,BEL,2025,6,3468776
benchmark,BEL,2030,1,177988
benchmark,BEL,2030,2,207424
benchmark,BEL,2030,3,795506
benchmark,BEL,2030,4,2279771
benchmark,BEL,2030,5,4237455
benchmark,BEL,2030,6,4057763
benchmark,BEL,2035,1,184323
benchmark,BEL,2035,2,210981
benchmark,BEL,2035,3,730366
benchmark,BEL,2035,4,2152061
benchmark,BEL,2035,5,4504807
benchmark,BEL,2035,6,4369026
benchmark,BEL,2040,1,205735
benchmark,BEL,2040,2,221295
benchmark,BEL,2040,3,676706
benchmark,BEL,2040,4,2022746
benchmark,BEL,2040,5,4719326
benchmark,BEL,2040,6,4755151
benchmark,BEL,2045,1,222491
benchmark,BEL,2045,2,240617
benchmark,BEL,2045,3,641237
benchmark,BEL,2045,4,1895489
benchmark,BEL,2045,5,4921828
benchmark,BEL,2045,6,5196518
benchmark,BEL,2050,1,235992
benchmark,BEL,2050,2,268321
benchmark,BEL,2050,3,625202
benchmark,BEL,2050,4,1801778
benchmark,BEL,2050,5,5111580
benchmark,BEL,2050,6,5666474
benchmark,BGR,2015,1,998209
benchmark,BGR,2015,2,148504
benchmark,BGR,2015,3,347754
benchmark,BGR,2015,4,1507311
benchmark,BGR,2015,5,2786192
benchmark,BGR,2015,6,1407777
benchmark,BGR,2020,1,685023
benchmark,BGR,2020,2,112953
benchmark,BGR,2020,3,260422
benchmark,BGR,2020,4,1337309
benchmark,BGR,2020,5,2864118
benchmark,BGR,2020,6,1596308
benchmark,BGR,2025,1,349257
benchmark,BGR,2025,2,110757
benchmark,BGR,2025,3,248115
benchmark,BGR,2025,4,1208646
benchmark,BGR,2025,5,2915887
benchmark,BGR,2025,6,1682317
benchmark,BGR,2030,1,36795
benchmark,BGR,2030,2,105437
benchmark,BGR,2030,3,228389
benchmark,BGR,2030,4,1072652
benchmark,BGR,2030,5,2960861
benchmark,BGR,2030,6,1790028
benchmark,BGR,2035,1,38157
benchmark,BGR,2035,2,95991
benchmark,BGR,2035,3,207091
benchmark,BGR,2035,4,911563
benchmark,BGR,2035,5,2851085
benchmark,BGR,2035,6,1797258
benchmark,BGR,2040,1,38757
benchmark,BGR,2040,2,90698
benchmark,BGR,2040,3,192229
benchmark,BGR,2040,4,769088
benchmark,BGR,2040,5,2738715
benchmark,BGR,2040,6,1810441
benchmark,BGR,2045,1,38749
benchmark,BGR,2045,2,86429
benchmark,BGR,2045,3,179184
benchmark,BGR,2045,4,657658
benchmark,BGR,2045,5,2610561
benchmark,BGR,2045,6,1836532
benchmark,BGR,2050,1,38714
benchmark,BGR,2050,2,82811
benchmark,BGR,2050,3,168380
benchmark,BGR,2050,4,572746
benchmark,BGR,2050,5,2478033
benchmark,BGR,2050,6,1861131
benchmark,CYP,2015,1,138932
benchmark,CYP,2015,2,34186
benchmark,CYP,2015,3,108055
benchmark,CYP,2015,4,97065
benchmark,CYP,2015,5,234829
benchmark,CYP,2015,6,217508
benchmark,CYP,2020,1,106826
benchmark,CYP,2020,2,30543
benchmark,CYP,2020,3,99949
benchmark,CYP,2020,4,106611
benchmark,CYP,2020,5,263487
benchmark,CYP,2020,6,274535
benchmark,CYP,2025,1,65023
benchmark,CYP,2025,2,27610
benchmark,CYP,2025,3,93014
benchmark,CYP,2025,4,106019
benchmark,CYP,2025,5,302368
benchmark,CYP,2025,6,326794
benchmark,CYP,2030,1,16652
benchmark,CYP,2030,2,25366
benchmark,CYP,2030,3,85387
benchmark,CYP,2030,4,111906
benchmark,CYP,2030,5,335692
benchmark,CYP,2030,6,381014
benchmark,CYP,2035,1,17279
benchmark,CYP,2035,2,24082
benchmark,CYP,2035,3,76498
benchmark,CYP,2035,4,109273
benchmark,CYP,2035,5,351047
benchmark,CYP,2035,6,412034
benchmark,CYP,2040,1,19910
benchmark,CYP,2040,2,23765
benchmark,CYP,2040,3,68132
benchmark,CYP,2040,4,105753
benchmark,CYP,2040,5,361808
benchmark,CYP,2040,6,446902
benchmark,CYP,2045,1,22033
benchmark,CYP,2045,2,24942
benchmark,CYP,2045,3,61479
benchmark,CYP,2045,4,102244
benchmark,CYP,2045,5,370364
benchmark,CYP,2045,6,485814
benchmark,CYP,2050,1,24099
benchmark,CYP,2050,2,26703
benchmark,CYP,2050,3,56530
benchmark,CYP,2050,4,100153
benchmark,CYP,2050,5,377710
benchmark,CYP,2050,6,526775
benchmark,CZE,2015,1,1601404
benchmark,CZE,2015,2,42358
benchmark,CZE,2015,3,48622
benchmark,CZE,2015,4,1503153
benchmark,CZE,2015,5,5508317
benchmark,CZE,2015,6,1559398
benchmark,CZE,2020,1,1152279
benchmark,CZE,2020,2,40894
benchmark,CZE,2020,3,58408
benchmark,CZE,2020,4,1346697
benchmark,CZE,2020,5,5822566
benchmark,CZE,2020,6,1846309
benchmark,CZE,2025,1,582712
benchmark,CZE,2025,2,42535
benchmark,CZE,2025,3,66357
benchmark,CZE,2025,4,1406431
benchmark,CZE,2025,5,6016199
benchmark,CZE,2025,6,2079101
benchmark,CZE,2030,1,26054
benchmark,CZE,2030,2,42598
benchmark,CZE,2030,3,67832
benchmark,CZE,2030,4,1308467
benchmark,CZE,2030,5,6253123
benchmark,CZE,2030,6,2359041
benchmark,CZE,2035,1,23059
benchmark,CZE,2035,2,40639
benchmark,CZE,2035,3,64375
benchmark,CZE,2035,4,1141428
benchmark,CZE,2035,5,6103723
benchmark,CZE,2035,6,2513142
benchmark,CZE,2040,1,25311
benchmark,CZE,2040,2,39504
benchmark,CZE,2040,3,61286
benchmark,CZE,2040,4,986924
benchmark,CZE,2040,5,5934764
benchmark,CZE,2040,6,2677026
benchmark,CZE,2045,1,27424
benchmark,CZE,2045,2,39389
benchmark,CZE,2045,3,60223
benchmark,CZE,2045,4,852762
benchmark,CZE,2045,5,5750731
benchmark,CZE,2045,6,2855501
benchmark,CZE,2050,1,29904
benchmark,CZE,2050,2,39670
benchmark,CZE,2050,3,60577
benchmark,CZE,2050,4,762481
benchmark,CZE,2050,5,5538281
benchmark,CZE,2050,6,3026925
benchmark,DEU,2015,1,11186081
benchmark,DEU,2015,2,260805
benchmark,DEU,2015,3,5240054
benchmark,DEU,2015,4,11783728
benchmark,DEU,2015,5,29819093
benchmark,DEU,2015,6,20133597
benchmark,DEU,2020,1,7462996
benchmark,DEU,2020,2,223287
benchmark,DEU,2020,3,3528977
benchmark,DEU,2020,4,11491052
benchmark,DEU,2020,5,31754495
benchmark,DEU,2020,6,23732162
benchmark,DEU,2025,1,3851866
benchmark,DEU,2025,2,209725
benchmark,DEU,2025,3,4065142
benchmark,DEU,2025,4,10883444
benchmark,DEU,2025,5,32699575
benchmark,DEU,2025,6,26041668
benchmark,DEU,2030,1,281875
benchmark,DEU,2030,2,210547
benchmark,DEU,2030,3,3863921
benchmark,DEU,2030,4,10155638
benchmark,DEU,2030,5,33497912
benchmark,DEU,2030,6,29114558
benchmark,DEU,2035,1,233995
benchmark,DEU,2035,2,209515
benchmark,DEU,2035,3,3560073
benchmark,DEU,2035,4,9131731
benchmark,DEU,2035,5,32609051
benchmark,DEU,2035,6,30631535
benchmark,DEU,2040,1,269669
benchmark,DEU,2040,2,215932
benchmark,DEU,2040,3,3318758
benchmark,DEU,2040,4,8248591
benchmark,DEU,2040,5,31525160
benchmark,DEU,2040,6,31983617
benchmark,DEU,2045,1,301908
benchmark,DEU,2045,2,229820
benchmark,DEU,2045,3,3125297
benchmark,DEU,2045,4,7499466
benchmark,DEU,2045,5,30302462
benchmark,DEU,2045,6,33278628
benchmark,DEU,2050,1,331677
benchmark,DEU,2050,2,248584
benchmark,DEU,2050,3,2939026
benchmark,DEU,2050,4,6831115
benchmark,DEU,2050,5,28987348
benchmark,DEU,2050,6,34506453
benchmark,DNK,2015,1,961815
benchmark,DNK,2015,2,11735
benchmark,DNK,2015,3,48045
benchmark,DNK,2015,4,1482568
benchmark,DNK,2015,5,1762672
benchmark,DNK,2015,6,1143274
benchmark,DNK,2020,1,671207
benchmark,DNK,2020,2,18690
benchmark,DNK,2020,3,57806
benchmark,DNK,2020,4,1331851
benchmark,DNK,2020,5,1998559
benchmark,DNK,2020,6,1462870
benchmark,DNK,2025,1,357544
benchmark,DNK,2025,2,27637
benchmark,DNK,2025,3,70771
benchmark,DNK,2025,4,1385434
benchmark,DNK,2025,5,2165916
benchmark,DNK,2025,6,1655517
benchmark,DNK,2030,1,59905
benchmark,DNK,2030,2,37696
benchmark,DNK,2030,3,84613
benchmark,DNK,2030,4,1316501
benchmark,DNK,2030,5,2348526
benchmark,DNK,2030,6,1952106
benchmark,DNK,2035,1,66112
benchmark,DNK,2035,2,46788
benchmark,DNK,2035,3,92671
benchmark,DNK,2035,4,1216166
benchmark,DNK,2035,5,2389203
benchmark,DNK,2035,6,2135256
benchmark,DNK,2040,1,78842
benchmark,DNK,2040,2,56207
benchmark,DNK,2040,3,100563
benchmark,DNK,2040,4,1145456
benchmark,DNK,2040,5,2414259
benchmark,DNK,2040,6,2310722
benchmark,DNK,2045,1,90401
benchmark,DNK,2045,2,66893
benchmark,DNK,2045,3,110167
benchmark,DNK,2045,4,1096378
benchmark,DNK,2045,5,2438158
benchmark,DNK,2045,6,2486429
benchmark,DNK,2050,1,101373
benchmark,DNK,2050,2,78818
benchmark,DNK,2050,3,121105
benchmark,DNK,2050,4,1056569
benchmark,DNK,2050,5,2474834
benchmark,DNK,2050,6,2673790
benchmark,ESP,2015,1,7279847
benchmark,ESP,2015,2,4360969
benchmark,ESP,2015,3,5718424
benchmark,ESP,2015,4,10759801
benchmark,ESP,2015,5,7951482
benchmark,ESP,2015,6,9811871
benchmark,ESP,2020,1,5242489
benchmark,ESP,2020,2,3533272
benchmark,ESP,2020,3,5062930
benchmark,ESP,2020,4,11427871
benchmark,ESP,2020,5,9207686
benchmark,ESP,2020,6,11879331
benchmark,ESP,2025,1,2824505
benchmark,ESP,2025,2,3018317
benchmark,ESP,2025,3,5257986
benchmark,ESP,2025,4,11319135
benchmark,ESP,2025,5,10609384
benchmark,ESP,2025,6,13541690
benchmark,ESP,2030,1,481770
benchmark,ESP,2030,2,2528131
benchmark,ESP,2030,3,5103780
benchmark,ESP,2030,4,11190806
benchmark,ESP,2030,5,11808026
benchmark,ESP,2030,6,15559401
benchmark,ESP,2035,1,459921
benchmark,ESP,2035,2,2088022
benchmark,ESP,2035,3,4797502
benchmark,ESP,2035,4,10390900
benchmark,ESP,2035,5,12257757
benchmark,ESP,2035,6,16719227
benchmark,ESP,2040,1,482840
benchmark,ESP,2040,2,1739207
benchmark,ESP,2040,3,4460123
benchmark,ESP,2040,4,9517560
benchmark,ESP,2040,5,12572617
benchmark,ESP,2040,6,17957922
benchmark,ESP,2045,1,488346
benchmark,ESP,2045,2,1463032
benchmark,ESP,2045,3,4095547
benchmark,ESP,2045,4,8639656
benchmark,ESP,2045,5,12770053
benchmark,ESP,2045,6,19217457
benchmark,ESP,2050,1,484788
benchmark,ESP,2050,2,1255751
benchmark,ESP,2050,3,3740401
benchmark,ESP,2050,4,7772303
benchmark,ESP,2050,5,12862871
benchmark,ESP,2050,6,20330206
benchmark,EST,2015,1,209680
benchmark,EST,2015,2,8998
benchmark,EST,2015,3,64936
benchmark,EST,2015,4,184219
benchmark,EST,2015,5,439037
benchmark,EST,2015,6,389172
benchmark,EST,2020,1,157028
benchmark,EST,2020,2,11253
benchmark,EST,2020,3,50566
benchmark,EST,2020,4,181954
benchmark,EST,2020,5,461658
benchmark,EST,2020,6,453831
benchmark,EST,2025,1,84735
benchmark,EST,2025,2,11689
benchmark,EST,2025,3,52172
benchmark,EST,2025,4,181701
benchmark,EST,2025,5,485303
benchmark,EST,2025,6,506513
benchmark,EST,2030,1,12748
benchmark,EST,2030,2,12334
benchmark,EST,2030,3,49040
benchmark,EST,2030,4,176733
benchmark,EST,2030,5,511862
benchmark,EST,2030,6,565017
benchmark,EST,2035,1,12573
benchmark,EST,2035,2,13590
benchmark,EST,2035,3,48036
benchmark,EST,2035,4,164647
benchmark,EST,2035,5,506589
benchmark,EST,2035,6,590146
benchmark,EST,2040,1,14426
benchmark,EST,2040,2,14985
benchmark,EST,2040,3,48263
benchmark,EST,2040,4,154588
benchmark,EST,2040,5,499404
benchmark,EST,2040,6,617024
benchmark,EST,2045,1,16004
benchmark,EST,2045,2,17108
benchmark,EST,2045,3,49174
benchmark,EST,2045,4,145852
benchmark,EST,2045,5,491824
benchmark,EST,2045,6,648602
benchmark,EST,2050,1,17709
benchmark,EST,2050,2,19256
benchmark,EST,2050,3,51344
benchmark,EST,2050,4,140547
benchmark,EST,2050,5,483937
benchmark,EST,2050,6,681013
benchmark,FIN,2015,1,895525
benchmark,FIN,2015,2,4084
benchmark,FIN,2015,3,12995
benchmark,FIN,2015,4,1449036
benchmark,FIN,2015,5,1738909
benchmark,FIN,2015,6,1290280
benchmark,FIN,2020,1,622010
benchmark,FIN,2020,2,11036
benchmark,FIN,2020,3,61108
benchmark,FIN,2020,4,1236540
benchmark,FIN,2020,5,1912652
benchmark,FIN,2020,6,1635192
benchmark,FIN,2025,1,328018
benchmark,FIN,2025,2,17317
benchmark,FIN,2025,3,102637
benchmark,FIN,2025,4,1137118
benchmark,FIN,2025,5,2137161
benchmark,FIN,2025,6,1812421
benchmark,FIN,2030,1,32210
benchmark,FIN,2030,2,23741
benchmark,FIN,2030,3,114685
benchmark,FIN,2030,4,1021114
benchmark,FIN,2030,5,2329887
benchmark,FIN,2030,6,2066362
benchmark,FIN,2035,1,35658
benchmark,FIN,2035,2,29892
benchmark,FIN,2035,3,124146
benchmark,FIN,2035,4,894478
benchmark,FIN,2035,5,2372298
benchmark,FIN,2035,6,2179875
benchmark,FIN,2040,1,42573
benchmark,FIN,2040,2,36531
benchmark,FIN,2040,3,130267
benchmark,FIN,2040,4,784191
benchmark,FIN,2040,5,2398775
benchmark,FIN,2040,6,2295992
benchmark,FIN,2045,1,48893
benchmark,FIN,2045,2,44560
benchmark,FIN,2045,3,138103
benchmark,FIN,2045,4,696323
benchmark,FIN,2045,5,2405161
benchmark,FIN,2045,6,2425466
benchmark,FIN,2050,1,55062
benchmark,FIN,2050,2,53679
benchmark,FIN,2050,3,146898
benchmark,FIN,2050,4,632845
benchmark,FIN,2050,5,2405252
benchmark,FIN,2050,6,2567989
benchmark,FRA,2015,1,12332447
benchmark,FRA,2015,2,767176
benchmark,FRA,2015,3,8461252
benchmark,FRA,2015,4,10249047
benchmark,FRA,2015,5,21163916
benchmark,FRA,2015,6,13202228
benchmark,FRA,2020,1,8913309
benchmark,FRA,2020,2,690108
benchmark,FRA,2020,3,7622453
benchmark,FRA,2020,4,10240593
benchmark,FRA,2020,5,23442203
benchmark,FRA,2020,6,17196954
benchmark,FRA,2025,1,5033700
benchmark,FRA,2025,2,713442
benchmark,FRA,2025,3,7106308
benchmark,FRA,2025,4,10045766
benchmark,FRA,2025,5,26012635
benchmark,FRA,2025,6,21147294
benchmark,FRA,2030,1,1045941
benchmark,FRA,2030,2,780207
benchmark,FRA,2030,3,6446295
benchmark,FRA,2030,4,10059993
benchmark,FRA,2030,5,28287299
benchmark,FRA,2030,6,25692107
benchmark,FRA,2035,1,1081947
benchmark,FRA,2035,2,829706
benchmark,FRA,2035,3,5765493
benchmark,FRA,2035,4,9611100
benchmark,FRA,2035,5,28811230
benchmark,FRA,2035,6,28742545
benchmark,FRA,2040,1,1187364
benchmark,FRA,2040,2,895755
benchmark,FRA,2040,3,5141194
benchmark,FRA,2040,4,9152308
benchmark,FRA,2040,5,29202272
benchmark,FRA,2040,6,31987967
benchmark,FRA,2045,1,1263880
benchmark,FRA,2045,2,975344
benchmark,FRA,2045,3,4637503
benchmark,FRA,2045,4,8780061
benchmark,FRA,2045,5,29411041
benchmark,FRA,2045,6,35380292
benchmark,FRA,2050,1,1323857
benchmark,FRA,2050,2,1067549
benchmark,FRA,2050,3,4275750
benchmark,FRA,2050,4,8458934
benchmark,FRA,2050,5,29548062
benchmark,FRA,2050,6,38869412
benchmark,GBR,2015,1,12150685
benchmark,GBR,2015,2,224818
benchmark,GBR,2015,3,537984
benchmark,GBR,2015,4,18847553
benchmark,GBR,2015,5,17841332
benchmark,GBR,2015,6,14778647
benchmark,GBR,2020,1,8704084
benchmark,GBR,2020,2,264185
benchmark,GBR,2020,3,619173
benchmark,GBR,2020,4,18682216
benchmark,GBR,2020,5,19524244
benchmark,GBR,2020,6,18583814
benchmark,GBR,2025,1,5140588
benchmark,GBR,2025,2,359449
benchmark,GBR,2025,3,796217
benchmark,GBR,2025,4,17138364
benchmark,GBR,2025,5,23031458
benchmark,GBR,2025,6,21810973
benchmark,GBR,2030,1,1176928
benchmark,GBR,2030,2,478589
benchmark,GBR,2030,3,1001351
benchmark,GBR,2030,4,16393984
benchmark,GBR,2030,5,25734689
benchmark,GBR,2030,6,25472523
benchmark,GBR,2035,1,1256000
benchmark,GBR,2035,2,582682
benchmark,GBR,2035,3,1130918
benchmark,GBR,2035,4,14781541
benchmark,GBR,2035,5,26933013
benchmark,GBR,2035,6,27795740
benchmark,GBR,2040,1,1456392
benchmark,GBR,2040,2,696250
benchmark,GBR,2040,3,1258851
benchmark,GBR,2040,4,13339664
benchmark,GBR,2040,5,28041789
benchmark,GBR,2040,6,30372638
benchmark,GBR,2045,1,1624200
benchmark,GBR,2045,2,821857
benchmark,GBR,2045,3,1403679
benchmark,GBR,2045,4,12136804
benchmark,GBR,2045,5,29141109
benchmark,GBR,2045,6,33344833
benchmark,GBR,2050,1,1763048
benchmark,GBR,2050,2,958137
benchmark,GBR,2050,3,1555713
benchmark,GBR,2050,4,11147909
benchmark,GBR,2050,5,30333097
benchmark,GBR,2050,6,36645227
benchmark,GRC,2015,1,1601281
benchmark,GRC,2015,2,696063
benchmark,GRC,2015,3,2229739
benchmark,GRC,2015,4,1205048
benchmark,GRC,2015,5,2704422
benchmark,GRC,2015,6,2365094
benchmark,GRC,2020,1,1120111
benchmark,GRC,2020,2,512434
benchmark,GRC,2020,3,1933022
benchmark,GRC,2020,4,1283615
