scenario,dest,year,edu,nativity,pop
benchmark,AUT,2015,1,eu,44377
benchmark,AUT,2015,1,native,1143730
benchmark,AUT,2015,1,non-eu,38387
benchmark,AUT,2015,2,eu,14241
benchmark,AUT,2015,2,native,0
benchmark,AUT,2015,2,non-eu,16048
benchmark,AUT,2015,3,eu,62142
benchmark,AUT,2015,3,native,456508
benchmark,AUT,2015,3,non-eu,52333
benchmark,AUT,2015,4,eu,131986
benchmark,AUT,2015,4,native,1065941
benchmark,AUT,2015,4,non-eu,164936
benchmark,AUT,2015,5,eu,197322
benchmark,AUT,2015,5,native,3001931
benchmark,AUT,2015,5,non-eu,259104
benchmark,AUT,2015,6,eu,202306
benchmark,AUT,2015,6,native,1432216
benchmark,AUT,2015,6,non-eu,210047
benchmark,AUT,2020,1,eu,38729
benchmark,AUT,2020,1,native,761829
benchmark,AUT,2020,1,non-eu,77427
benchmark,AUT,2020,2,eu,10536
benchmark,AUT,2020,2,native,1774
benchmark,AUT,2020,2,non-eu,20052
benchmark,AUT,2020,3,eu,49331
benchmark,AUT,2020,3,native,362636
benchmark,AUT,2020,3,non-eu,58506
benchmark,AUT,2020,4,eu,121070
benchmark,AUT,2020,4,native,1017276
benchmark,AUT,2020,4,non-eu,165126
benchmark,AUT,2020,5,eu,226875
benchmark,AUT,2020,5,native,3224037
benchmark,AUT,2020,5,non-eu,307732
benchmark,AUT,2020,6,eu,198954
benchmark,AUT,2020,6,native,1759588
benchmark,AUT,2020,6,non-eu,226179
benchmark,AUT,2025,1,eu,21856
benchmark,AUT,2025,1,native,387209
benchmark,AUT,2025,1,non-eu,79170
benchmark,AUT,2025,2,eu,8452
benchmark,AUT,2025,2,native,3002
benchmark,AUT,2025,2,non-eu,26201
benchmark,AUT,2025,3,eu,40781
benchmark,AUT,2025,3,native,290499
benchmark,AUT,2025,3,non-eu,71718
benchmark,AUT,2025,4,eu,115037
benchmark,AUT,2025,4,native,1068568
benchmark,AUT,2025,4,non-eu,178318
benchmark,AUT,2025,5,eu,241697
benchmark,AUT,2025,5,native,3339506
benchmark,AUT,2025,5,non-eu,355879
benchmark,AUT,2025,6,eu,203418
benchmark,AUT,2025,6,native,2040103
benchmark,AUT,2025,6,non-eu,249149
benchmark,AUT,2030,1,eu,3997
benchmark,AUT,2030,1,native,2802
benchmark,AUT,2030,1,non-eu,59495
benchmark,AUT,2030,2,eu,6635
benchmark,AUT,2030,2,native,3939
benchmark,AUT,2030,2,non-eu,32693
benchmark,AUT,2030,3,eu,32886
benchmark,AUT,2030,3,native,223707
benchmark,AUT,2030,3,non-eu,83881
benchmark,AUT,2030,4,eu,103299
benchmark,AUT,2030,4,native,1070268
benchmark,AUT,2030,4,non-eu,193697
benchmark,AUT,2030,5,eu,250822
benchmark,AUT,2030,5,native,3459281
benchmark,AUT,2030,5,non-eu,411831
benchmark,AUT,2030,6,eu,210317
benchmark,AUT,2030,6,native,2346658
benchmark,AUT,2030,6,non-eu,283530
benchmark,AUT,2035,1,eu,780
benchmark,AUT,2035,1,native,3324
