scenario,dest,year,nativity,pop
benchmark,AUT,2015,eu,652374
benchmark,AUT,2015,native,7100326
benchmark,AUT,2015,non-eu,740855
benchmark,AUT,2020,eu,645495
benchmark,AUT,2020,native,7127140
benchmark,AUT,2020,non-eu,855022
benchmark,AUT,2025,eu,631241
benchmark,AUT,2025,native,7128887
benchmark,AUT,2025,non-eu,960435
benchmark,AUT,2030,eu,607956
benchmark,AUT,2030,native,7106655
benchmark,AUT,2030,non-eu,1065127
benchmark,AUT,2035,eu,580047
benchmark,AUT,2035,native,7063198
benchmark,AUT,2035,non-eu,1173137
benchmark,AUT,2040,eu,549694
benchmark,AUT,2040,native,7012938
benchmark,AUT,2040,non-eu,1290416
benchmark,AUT,2045,eu,517067
benchmark,AUT,2045,native,6965429
benchmark,AUT,2045,non-eu,1422907
benchmark,AUT,2050,eu,482063
benchmark,AUT,2050,native,6915363
benchmark,AUT,2050,non-eu,1573532
benchmark,BEL,2015,eu,807659
benchmark,BEL,2015,native,9105748
benchmark,BEL,2015,non-eu,805993
benchmark,BEL,2020,eu,790249
benchmark,BEL,2020,native,9295647
benchmark,BEL,2020,non-eu,970552
benchmark,BEL,2025,eu,768162
benchmark,BEL,2025,native,9477331
benchmark,BEL,2025,non-eu,1155417
benchmark,BEL,2030,eu,737101
benchmark,BEL,2030,native,9644027
benchmark,BEL,2030,non-eu,1374779
benchmark,BEL,2035,eu,701337
benchmark,BEL,2035,native,9816547
benchmark,BEL,2035,non-eu,1633680
benchmark,BEL,2040,eu,660458
benchmark,BEL,2040,native,10007944
benchmark,BEL,2040,non-eu,1932557
benchmark,BEL,2045,eu,616632
benchmark,BEL,2045,native,10213785
benchmark,BEL,2045,non-eu,2287763
benchmark,BEL,2050,eu,571050
benchmark,BEL,2050,native,10427817
benchmark,BEL,2050,non-eu,2710480
benchmark,BGR,2015,eu,42979
benchmark,BGR,2015,native,7077389
benchmark,BGR,2015,non-eu,75379
benchmark,BGR,2020,eu,43163
benchmark,BGR,2020,native,6706978
benchmark,BGR,2020,non-eu,105992
benchmark,BGR,2025,eu,43056
benchmark,BGR,2025,native,6348881
benchmark,BGR,2025,non-eu,123042
benchmark,BGR,2030,eu,42596
benchmark,BGR,2030,native,6009901
benchmark,BGR,2030,non-eu,141665
benchmark,BGR,2035,eu,42405
benchmark,BGR,2035,native,5696594
benchmark,BGR,2035,non-eu,162146
benchmark,BGR,2040,eu,41862
benchmark,BGR,2040,native,5413721
benchmark,BGR,2040,non-eu,184345
benchmark,BGR,2045,eu,41337
benchmark,BGR,2045,native,5158440
benchmark,BGR,2045,non-eu,209336
benchmark,BGR,2050,eu,40225
benchmark,BGR,2050,native,4923901
benchmark,BGR,2050,non-eu,237689
benchmark,CYP,2015,eu,92771
benchmark,CYP,2015,native,660028
benchmark,CYP,2015,non-eu,77776
benchmark,CYP,2020,eu,97889
benchmark,CYP,2020,native,667507
benchmark,CYP,2020,non-eu,116555
benchmark,CYP,2025,eu,100574
benchmark,CYP,2025,native,675847
benchmark,CYP,2025,non-eu,144407
benchmark,CYP,2030,eu,100585
benchmark,CYP,2030,native,680374
benchmark,CYP,2030,non-eu,175058
benchmark,CYP,2035,eu,98978
benchmark,CYP,2035,native,682712
benchmark,CYP,2035,non-eu,208523
