scenario,dest,year,sex,pop
benchmark,AUT,2015,f,4343612
benchmark,AUT,2015,m,4149943
benchmark,AUT,2020,f,4391971
benchmark,AUT,2020,m,4235686
benchmark,AUT,2025,f,4429823
benchmark,AUT,2025,m,4290740
benchmark,AUT,2030,f,4454143
benchmark,AUT,2030,m,4325595
benchmark,AUT,2035,f,4467690
benchmark,AUT,2035,m,4348692
benchmark,AUT,2040,f,4480563
benchmark,AUT,2040,m,4372485
benchmark,AUT,2045,f,4500640
benchmark,AUT,2045,m,4404763
benchmark,AUT,2050,f,4526010
benchmark,AUT,2050,m,4444948
benchmark,BEL,2015,f,5449307
benchmark,BEL,2015,m,5270093
benchmark,BEL,2020,f,5581725
benchmark,BEL,2020,m,5474723
benchmark,BEL,2025,f,5718309
benchmark,BEL,2025,m,5682601
benchmark,BEL,2030,f,5869444
benchmark,BEL,2030,m,5886463
benchmark,BEL,2035,f,6048283
benchmark,BEL,2035,m,6103281
benchmark,BEL,2040,f,6259089
benchmark,BEL,2040,m,6341870
benchmark,BEL,2045,f,6506318
benchmark,BEL,2045,m,6611862
benchmark,BEL,2050,f,6791799
benchmark,BEL,2050,m,6917548
benchmark,BGR,2015,f,3697203
benchmark,BGR,2015,m,3498544
benchmark,BGR,2020,f,3522933
benchmark,BGR,2020,m,3333200
benchmark,BGR,2025,f,3349148
benchmark,BGR,2025,m,3165831
benchmark,BGR,2030,f,3185043
benchmark,BGR,2030,m,3009119
benchmark,BGR,2035,f,3033765
benchmark,BGR,2035,m,2867380
benchmark,BGR,2040,f,2897759
benchmark,BGR,2040,m,2742169
benchmark,BGR,2045,f,2777155
benchmark,BGR,2045,m,2631958
benchmark,BGR,2050,f,2669466
benchmark,BGR,2050,m,2532349
benchmark,CYP,2015,f,427396
benchmark,CYP,2015,m,403179
benchmark,CYP,2020,f,453910
benchmark,CYP,2020,m,428041
benchmark,CYP,2025,f,473496
benchmark,CYP,2025,m,447332
benchmark,CYP,2030,f,490857
benchmark,CYP,2030,m,465160
benchmark,CYP,2035,f,507370
benchmark,CYP,2035,m,482843
benchmark,CYP,2040,f,524431
benchmark,CYP,2040,m,501839
benchmark,CYP,2045,f,543301
benchmark,CYP,2045,m,523575
benchmark,CYP,2050,f,563955
benchmark,CYP,2050,m,548015
benchmark,CZE,2015,f,5228414
benchmark,CZE,2015,m,5034838
benchmark,CZE,2020,f,5232357
benchmark,CZE,2020,m,5034796
benchmark,CZE,2025,f,5201282
benchmark,CZE,2025,m,4992053
benchmark,CZE,2030,f,5138633
benchmark,CZE,2030,m,4918482
benchmark,CZE,2035,f,5054859
benchmark,CZE,2035,m,4831507
benchmark,CZE,2040,f,4970557
benchmark,CZE,2040,m,4754258
benchmark,CZE,2045,f,4893533
benchmark,CZE,2045,m,4692497
benchmark,CZE,2050,f,4820789
benchmark,CZE,2050,m,4637049
benchmark,DEU,2015,f,40014655
benchmark,DEU,2015,m,38408703
benchmark,DEU,2020,f,39784962
benchmark,DEU,2020,m,38408007
benchmark,DEU,2025,f,39548520
benchmark,DEU,2025,m,38202900
benchmark,DEU,2030,f,39231560
benchmark,DEU,2030,m,37892891
benchmark,DEU,2035,f,38853906
benchmark,DEU,2035,m,37521994
benchmark,DEU,2040,f,38437729
benchmark,DEU,2040,m,37123998
benchmark,DEU,2045,f,38024797
benchmark,DEU,2045,m,36712784
benchmark,DEU,2050,f,37575516
benchmark,DEU,2050,m,36268687
benchmark,DNK,2015,f,2716763
benchmark,DNK,2015,m,2693346
benchmark,DNK,2020,f,2785916
benchmark,DNK,2020,m,2755067
benchmark,DNK,2025,f,2850014
benchmark,DNK,2025,m,2812805
benchmark,DNK,2030,f,2921607
benchmark,DNK,2030,m,2877740
benchmark,DNK,2035,f,2998185
benchmark,DNK,2035,m,2948011
benchmark,DNK,2040,f,3080315
benchmark,DNK,2040,m,3025734
benchmark,DNK,2045,f,3172728
benchmark,DNK,2045,m,3115698
benchmark,DNK,2050,f,3282525
benchmark,DNK,2050,m,3223964
benchmark,ESP,2015,f,23351569
benchmark,ESP,2015,m,22530825
benchmark,ESP,2020,f,23545932
benchmark,ESP,2020,m,22807647
benchmark,ESP,2025,f,23616744
benchmark,ESP,2025,m,22954273
benchmark,ESP,2030,f,23638395
benchmark,ESP,2030,m,23033519
benchmark,ESP,2035,f,23640474
benchmark,ESP,2035,m,23072855
benchmark,ESP,2040,f,23632768
benchmark,ESP,2040,m,23097501
benchmark,ESP,2045,f,23584838
benchmark,ESP,2045,m,23089253
benchmark,ESP,2050,f,23446858
benchmark,ESP,2050,m,22999462
benchmark,EST,2015,f,692303
benchmark,EST,2015,m,603739
benchmark,EST,2020,f,698956
benchmark,EST,2020,m,617334
benchmark,EST,2025,f,697404
benchmark,EST,2025,m,624709
benchmark,EST,2030,f,695712
benchmark,EST,2030,m,632022
benchmark,EST,2035,f,695318
benchmark,EST,2035,m,640263
benchmark,EST,2040,f,697473
benchmark,EST,2040,m,651217
benchmark,EST,2045,f,702584
benchmark,EST,2045,m,665980
benchmark,EST,2050,f,709852
benchmark,EST,2050,m,683954
benchmark,FIN,2015,f,2734251
benchmark,FIN,2015,m,2656578
benchmark,FIN,2020,f,2775167
benchmark,FIN,2020,m,2703371
benchmark,FIN,2025,f,2804188
benchmark,FIN,2025,m,2730484
benchmark,FIN,2030,f,2832341
benchmark,FIN,2030,m,2755658
benchmark,FIN,2035,f,2856817
benchmark,FIN,2035,m,2779530
benchmark,FIN,2040,f,2879991
benchmark,FIN,2040,m,2808338
benchmark,FIN,2045,f,2908411
benchmark,FIN,2045,m,2850095
benchmark,FIN,2050,f,2950699
benchmark,FIN,2050,m,2911026
benchmark,FRA,2015,f,34146152
benchmark,FRA,2015,m,32029914
benchmark,FRA,2020,f,35096226
benchmark,FRA,2020,m,33009394
benchmark,FRA,2025,f,36084999
benchmark,FRA,2025,m,33974146
benchmark,FRA,2030,f,37227318
benchmark,FRA,2030,m,35084524
benchmark,FRA,2035,f,38518742
benchmark,FRA,2035,m,36323279
benchmark,FRA,2040,f,39910373
benchmark,FRA,2040,m,37656487
benchmark,FRA,2045,f,41363862
benchmark,FRA,2045,m,39084259
benchmark,FRA,2050,f,42901365
benchmark,FRA,2050,m,40642199
benchmark,GBR,2015,f,32685700
benchmark,GBR,2015,m,31695319
benchmark,GBR,2020,f,33627855
benchmark,GBR,2020,m,32749861
benchmark,GBR,2025,f,34557677
benchmark,GBR,2025,m,33719372
benchmark,GBR,2030,f,35565310
benchmark,GBR,2030,m,34692754
benchmark,GBR,2035,f,36708768
benchmark,GBR,2035,m,35771126
benchmark,GBR,2040,f,38089711
benchmark,GBR,2040,m,37075873
benchmark,GBR,2045,f,39779862
benchmark,GBR,2045,m,38692620
benchmark,GBR,2050,f,41779830
benchmark,GBR,2050,m,40623301
benchmark,GRC,2015,f,5562692
benchmark,GRC,2015,m,5238955
benchmark,GRC,2020,f,5500718
benchmark,GRC,2020,m,5182707
benchmark,GRC,2025,f,5415971
benchmark,GRC,2025,m,5092607
benchmark,GRC,2030,f,5322889
benchmark,GRC,2030,m,5004032
benchmark,GRC,2035,f,5236899
benchmark,GRC,2035,m,4927807
benchmark,GRC,2040,f,5160258
benchmark,GRC,2040,m,4863199
benchmark,GRC,2045,f,5090636
benchmark,GRC,2045,m,4808181
benchmark,GRC,2050,f,5024452
benchmark,GRC,2050,m,4759749
benchmark,HRV,2015,f,2163467
benchmark,HRV,2015,m,2014803
benchmark,HRV,2020,f,2115924
benchmark,HRV,2020,m,1970264
benchmark,HRV,2025,f,2050534
benchmark,HRV,2025,m,1917186
benchmark,HRV,2030,f,1991922
benchmark,HRV,2030,m,1867273
benchmark,HRV,2035,f,1935361
benchmark,HRV,2035,m,1816876
benchmark,HRV,2040,f,1879370
benchmark,HRV,2040,m,1766818
benchmark,HRV,2045,f,1824697
benchmark,HRV,2045,m,1720213
benchmark,HRV,2050,f,1772559
benchmark,HRV,2050,m,1678623
benchmark,HUN,2015,f,5138803
benchmark,HUN,2015,m,4677492
benchmark,HUN,2020,f,5015701
benchmark,HUN,2020,m,4574871
benchmark,HUN,2025,f,4870263
benchmark,HUN,2025,m,4454230
benchmark,HUN,2030,f,4723489
benchmark,HUN,2030,m,4330534
benchmark,HUN,2035,f,4573094
benchmark,HUN,2035,m,4202880
benchmark,HUN,2040,f,4421570
benchmark,HUN,2040,m,4074562
benchmark,HUN,2045,f,4272534
benchmark,HUN,2045,m,3948575
benchmark,HUN,2050,f,4130691
benchmark,HUN,2050,m,3826853
benchmark,IRL,2015,f,2270679
benchmark,IRL,2015,m,2220383
benchmark,IRL,2020,f,2424224
benchmark,IRL,2020,m,2370507
benchmark,IRL,2025,f,2568041
benchmark,IRL,2025,m,2510594
benchmark,IRL,2030,f,2710731
benchmark,IRL,2030,m,2647964
benchmark,IRL,2035,f,2857163
benchmark,IRL,2035,m,2789505
benchmark,IRL,2040,f,3014765
benchmark,IRL,2040,m,2943947
benchmark,IRL,2045,f,3187313
benchmark,IRL,2045,m,3115813
benchmark,IRL,2050,f,3377013
benchmark,IRL,2050,m,3307127
benchmark,ITA,2015,f,31142823
benchmark,ITA,2015,m,29347293
benchmark,ITA,2020,f,30947738
benchmark,ITA,2020,m,29381361
benchmark,ITA,2025,f,30679126
benchmark,ITA,2025,m,29247732
benchmark,ITA,2030,f,30382917
benchmark,ITA,2030,m,29041646
benchmark,ITA,2035,f,30087460
benchmark,ITA,2035,m,28832841
benchmark,ITA,2040,f,29811049
benchmark,ITA,2040,m,28645064
benchmark,ITA,2045,f,29541874
benchmark,ITA,2045,m,28474416
benchmark,ITA,2050,f,29260593
benchmark,ITA,2050,m,28298340
benchmark,LTU,2015,f,1572907
benchmark,LTU,2015,m,1343858
benchmark,LTU,2020,f,1544011
benchmark,LTU,2020,m,1317110
benchmark,LTU,2025,f,1510710
benchmark,LTU,2025,m,1293050
benchmark,LTU,2030,f,1477462
benchmark,LTU,2030,m,1271788
benchmark,LTU,2035,f,1445263
benchmark,LTU,2035,m,1251235
benchmark,LTU,2040,f,1416513
benchmark,LTU,2040,m,1233645
benchmark,LTU,2045,f,1392863
benchmark,LTU,2045,m,1221999
benchmark,LTU,2050,f,1372984
benchmark,LTU,2050,m,1215339
benchmark,LUX,2015,f,252484
benchmark,LUX,2015,m,256132
benchmark,LUX,2020,f,285268
benchmark,LUX,2020,m,291295
benchmark,LUX,2025,f,314053
benchmark,LUX,2025,m,321062
benchmark,LUX,2030,f,345367
benchmark,LUX,2030,m,352763
benchmark,LUX,2035,f,380760
benchmark,LUX,2035,m,388168
benchmark,LUX,2040,f,421610
benchmark,LUX,2040,m,429173
benchmark,LUX,2045,f,469250
benchmark,LUX,2045,m,477572
benchmark,LUX,2050,f,524436
benchmark,LUX,2050,m,534437
benchmark,LVA,2015,f,1070965
benchmark,LVA,2015,m,907266
benchmark,LVA,2020,f,1049394
benchmark,LVA,2020,m,895238
benchmark,LVA,2025,f,1022125
benchmark,LVA,2025,m,882646
benchmark,LVA,2030,f,997434
benchmark,LVA,2030,m,872425
benchmark,LVA,2035,f,976233
benchmark,LVA,2035,m,865034
benchmark,LVA,2040,f,958143
benchmark,LVA,2040,m,860756
benchmark,LVA,2045,f,943049
benchmark,LVA,2045,m,859962
benchmark,LVA,2050,f,929193
benchmark,LVA,2050,m,861674
benchmark,MLT,2015,f,217567
benchmark,MLT,2015,m,217845
benchmark,MLT,2020,f,232297
benchmark,MLT,2020,m,232828
benchmark,MLT,2025,f,242215
benchmark,MLT,2025,m,243155
benchmark,MLT,2030,f,252215
benchmark,MLT,2030,m,254953
benchmark,MLT,2035,f,262832
benchmark,MLT,2035,m,268824
benchmark,MLT,2040,f,274578
benchmark,MLT,2040,m,285677
benchmark,MLT,2045,f,288764
benchmark,MLT,2045,m,306924
benchmark,MLT,2050,f,305865
benchmark,MLT,2050,m,333399
benchmark,NLD,2015,f,8314019
benchmark,NLD,2015,m,8167538
benchmark,NLD,2020,f,8477249
benchmark,NLD,2020,m,8365301
benchmark,NLD,2025,f,8621997
benchmark,NLD,2025,m,8593416
benchmark,NLD,2030,f,8803318
benchmark,NLD,2030,m,8819224
benchmark,NLD,2035,f,9000288
benchmark,NLD,2035,m,9029155
benchmark,NLD,2040,f,9204352
benchmark,NLD,2040,m,9227451
benchmark,NLD,2045,f,9422648
benchmark,NLD,2045,m,9429723
benchmark,NLD,2050,f,9671524
benchmark,NLD,2050,m,9662175
benchmark,POL,2015,f,19120105
benchmark,POL,2015,m,17903945
benchmark,POL,2020,f,18923040
benchmark,POL,2020,m,17674895
benchmark,POL,2025,f,18665126
benchmark,POL,2025,m,17363699
benchmark,POL,2030,f,18331951
benchmark,POL,2030,m,16976256
benchmark,POL,2035,f,17931200
benchmark,POL,2035,m,16538352
benchmark,POL,2040,f,17472159
benchmark,POL,2040,m,16075030
benchmark,POL,2045,f,16963029
benchmark,POL,2045,m,15596963
benchmark,POL,2050,f,16422341
benchmark,POL,2050,m,15106622
benchmark,PRT,2015,f,5436353
benchmark,PRT,2015,m,4897669
benchmark,PRT,2020,f,5367588
benchmark,PRT,2020,m,4840156
benchmark,PRT,2025,f,5287279
benchmark,PRT,2025,m,4763190
benchmark,PRT,2030,f,5222278
benchmark,PRT,2030,m,4701720
benchmark,PRT,2035,f,5174585
benchmark,PRT,2035,m,4658469
benchmark,PRT,2040,f,5141629
benchmark,PRT,2040,m,4632619
benchmark,PRT,2045,f,5122262
benchmark,PRT,2045,m,4626740
benchmark,PRT,2050,f,5120006
benchmark,PRT,2050,m,4646424
benchmark,ROU,2015,f,10153186
benchmark,ROU,2015,m,9689349
benchmark,ROU,2020,f,9867476
benchmark,ROU,2020,m,9382211
benchmark,ROU,2025,f,9591386
benchmark,ROU,2025,m,9055815
benchmark,ROU,2030,f,9328672
benchmark,ROU,2030,m,8763570
benchmark,ROU,2035,f,9070951
benchmark,ROU,2035,m,8483434
benchmark,ROU,2040,f,8799829
benchmark,ROU,2040,m,8200234
benchmark,ROU,2045,f,8512456
benchmark,ROU,2045,m,7910169
benchmark,ROU,2050,f,8213319
benchmark,ROU,2050,m,7610525
benchmark,SVK,2015,f,2719137
benchmark,SVK,2015,m,2581466
benchmark,SVK,2020,f,2732421
benchmark,SVK,2020,m,2592236
benchmark,SVK,2025,f,2724613
benchmark,SVK,2025,m,2583129
benchmark,SVK,2030,f,2702352
benchmark,SVK,2030,m,2558205
benchmark,SVK,2035,f,2669470
benchmark,SVK,2035,m,2522335
benchmark,SVK,2040,f,2630590
benchmark,SVK,2040,m,2482188
benchmark,SVK,2045,f,2589180
benchmark,SVK,2045,m,2442111
benchmark,SVK,2050,f,2545813
benchmark,SVK,2050,m,2402615
benchmark,SVN,2015,f,1033185
benchmark,SVN,2015,m,1008864
benchmark,SVN,2020,f,1049954
benchmark,SVN,2020,m,1030631
benchmark,SVN,2025,f,1054516
benchmark,SVN,2025,m,1036882
benchmark,SVN,2030,f,1055590
benchmark,SVN,2030,m,1038198
benchmark,SVN,2035,f,1056601
benchmark,SVN,2035,m,1038114
benchmark,SVN,2040,f,1059513
benchmark,SVN,2040,m,1039894
benchmark,SVN,2045,f,1065316
benchmark,SVN,2045,m,1045846
benchmark,SVN,2050,f,1072645
benchmark,SVN,2050,m,1055768
benchmark,SWE,2015,f,4693350
benchmark,SWE,2015,m,4675331
benchmark,SWE,2020,f,4838993
benchmark,SWE,2020,m,4846020
benchmark,SWE,2025,f,5001846
benchmark,SWE,2025,m,5013818
benchmark,SWE,2030,f,5173580
benchmark,SWE,2030,m,5183753
benchmark,SWE,2035,f,5364543
benchmark,SWE,2035,m,5372126
benchmark,SWE,2040,f,5593768
benchmark,SWE,2040,m,5604229
benchmark,SWE,2045,f,5874979
benchmark,SWE,2045,m,5895363
benchmark,SWE,2050,f,6213403
benchmark,SWE,2050,m,6246581
igc,AUT,2015,f,4343612
igc,AUT,2015,m,4149943
igc,AUT,2020,f,4391971
igc,AUT,2020,m,4235686
igc,AUT,2025,f,4421941
igc,AUT,2025,m,4282152
igc,AUT,2030,f,4434436
igc,AUT,2030,m,4302896
igc,AUT,2035,f,4430413
igc,AUT,2035,m,4304357
igc,AUT,2040,f,4418903
igc,AUT,2040,m,4297518
igc,AUT,2045,f,4406170
igc,AUT,2045,m,4287847
igc,AUT,2050,f,4386271
igc,AUT,2050,m,4270597
igc,BEL,2015,f,5449307
igc,BEL,2015,m,5270093
igc,BEL,2020,f,5581725
igc,BEL,2020,m,5474723
igc,BEL,2025,f,5697640
igc,BEL,2025,m,5656056
igc,BEL,2030,f,5812294
igc,BEL,2030,m,5815327
igc,BEL,2035,f,5933730
igc,BEL,2035,m,5965443
igc,BEL,2040,f,6063599
igc,BEL,2040,m,6113495
igc,BEL,2045,f,6198963
igc,BEL,2045,m,6261828
igc,BEL,2050,f,6323271
igc,BEL,2050,m,6394320
igc,BGR,2015,f,3697203
igc,BGR,2015,m,3498544
igc,BGR,2020,f,3522933
igc,BGR,2020,m,3333200
igc,BGR,2025,f,3348713
igc,BGR,2025,m,3165032
igc,BGR,2030,f,3182166
igc,BGR,2030,m,3005671
igc,BGR,2035,f,3028230
igc,BGR,2035,m,2860721
igc,BGR,2040,f,2888585
igc,BGR,2040,m,2731001
igc,BGR,2045,f,2763167
igc,BGR,2045,m,2614665
igc,BGR,2050,f,2648523
igc,BGR,2050,m,2506471
igc,CYP,2015,f,427396
igc,CYP,2015,m,403179
igc,CYP,2020,f,453910
igc,CYP,2020,m,428041
igc,CYP,2025,f,471505
igc,CYP,2025,m,445777
igc,CYP,2030,f,486500
igc,CYP,2030,m,461115
igc,CYP,2035,f,500152
igc,CYP,2035,m,475378
igc,CYP,2040,f,512772
igc,CYP,2040,m,489270
igc,CYP,2045,f,525613
igc,CYP,2045,m,503784
igc,CYP,2050,f,537454
igc,CYP,2050,m,517939
igc,CZE,2015,f,5228414
igc,CZE,2015,m,5034838
igc,CZE,2020,f,5232357
igc,CZE,2020,m,5034796
igc,CZE,2025,f,5199235
igc,CZE,2025,m,4988371
igc,CZE,2030,f,5132399
igc,CZE,2030,m,4908368
igc,CZE,2035,f,5044242
igc,CZE,2035,m,4814508
igc,CZE,2040,f,4955217
igc,CZE,2040,m,4729410
igc,CZE,2045,f,4872827
igc,CZE,2045,m,4658125
igc,CZE,2050,f,4791863
igc,CZE,2050,m,4587817
igc,DEU,2015,f,40014655
igc,DEU,2015,m,38408703
igc,DEU,2020,f,39784962
igc,DEU,2020,m,38408007
igc,DEU,2025,f,39505514
igc,DEU,2025,m,38158799
igc,DEU,2030,f,39133657
igc,DEU,2030,m,37788544
igc,DEU,2035,f,38689888
igc,DEU,2035,m,37343433
igc,DEU,2040,f,38183841
igc,DEU,2040,m,36845786
igc,DEU,2045,f,37651847
igc,DEU,2045,m,36302845
igc,DEU,2050,f,37036406
igc,DEU,2050,m,35675426
igc,DNK,2015,f,2716763
igc,DNK,2015,m,2693346
igc,DNK,2020,f,2785916
igc,DNK,2020,m,2755067
igc,DNK,2025,f,2840633
igc,DNK,2025,m,2804595
igc,DNK,2030,f,2896893
igc,DNK,2030,m,2855293
igc,DNK,2035,f,2951458
igc,DNK,2035,m,2904604
igc,DNK,2040,f,3002738
igc,DNK,2040,m,2952301
igc,DNK,2045,f,3053242
igc,DNK,2045,m,3001394
igc,DNK,2050,f,3105324
igc,DNK,2050,m,3052785
igc,ESP,2015,f,23351569
igc,ESP,2015,m,22530825
igc,ESP,2020,f,23545932
igc,ESP,2020,m,22807647
igc,ESP,2025,f,23553479
igc,ESP,2025,m,22868460
igc,ESP,2030,f,23487290
igc,ESP,2030,m,22831693
igc,ESP,2035,f,23405620
igc,ESP,2035,m,22758215
igc,ESP,2040,f,23321785
igc,ESP,2040,m,22678992
igc,ESP,2045,f,23210522
igc,ESP,2045,m,22581252
igc,ESP,2050,f,22996841
igc,ESP,2050,m,22383148
igc,EST,2015,f,692303
igc,EST,2015,m,603739
igc,EST,2020,f,698956
igc,EST,2020,m,617334
igc,EST,2025,f,696868
igc,EST,2025,m,623840
igc,EST,2030,f,694721
igc,EST,2030,m,629674
igc,EST,2035,f,694444
igc,EST,2035,m,636043
igc,EST,2040,f,695621
igc,EST,2040,m,643369
igc,EST,2045,f,698511
igc,EST,2045,m,652284
igc,EST,2050,f,701419
igc,EST,2050,m,660945
igc,FIN,2015,f,2734251
igc,FIN,2015,m,2656578
igc,FIN,2020,f,2775167
igc,FIN,2020,m,2703371
igc,FIN,2025,f,2800087
igc,FIN,2025,m,2725412
igc,FIN,2030,f,2821395
igc,FIN,2030,m,2742033
igc,FIN,2035,f,2835395
igc,FIN,2035,m,2752657
igc,FIN,2040,f,2843105
igc,FIN,2040,m,2761749
igc,FIN,2045,f,2849608
igc,FIN,2045,m,2775840
igc,FIN,2050,f,2861108
igc,FIN,2050,m,2798495
igc,FRA,2015,f,34146152
igc,FRA,2015,m,32029914
igc,FRA,2020,f,35096226
igc,FRA,2020,m,33009394
igc,FRA,2025,f,35942730
igc,FRA,2025,m,33831702
igc,FRA,2030,f,36850717
igc,FRA,2030,m,34710801
igc,FRA,2035,f,37824519
igc,FRA,2035,m,35642678
igc,FRA,2040,f,38812065
igc,FRA,2040,m,36591054
igc,FRA,2045,f,39760499
igc,FRA,2045,m,37540920
