scenario,dest,year,sex,edu,pop
benchmark,AUT,2015,f,1,596733
benchmark,AUT,2015,f,2,16991
benchmark,AUT,2015,f,3,387283
benchmark,AUT,2015,f,4,806590
benchmark,AUT,2015,f,5,1622738
benchmark,AUT,2015,f,6,913277
benchmark,AUT,2015,m,1,629761
benchmark,AUT,2015,m,2,13298
benchmark,AUT,2015,m,3,183700
benchmark,AUT,2015,m,4,556273
benchmark,AUT,2015,m,5,1835619
benchmark,AUT,2015,m,6,931292
benchmark,AUT,2020,f,1,427730
benchmark,AUT,2020,f,2,18248
benchmark,AUT,2020,f,3,317201
benchmark,AUT,2020,f,4,771989
benchmark,AUT,2020,f,5,1771065
benchmark,AUT,2020,f,6,1085738
benchmark,AUT,2020,m,1,450255
benchmark,AUT,2020,m,2,14114
benchmark,AUT,2020,m,3,153272
benchmark,AUT,2020,m,4,531483
benchmark,AUT,2020,m,5,1987579
benchmark,AUT,2020,m,6,1098983
benchmark,AUT,2025,f,1,238213
benchmark,AUT,2025,f,2,20761
benchmark,AUT,2025,f,3,257684
benchmark,AUT,2025,f,4,777546
benchmark,AUT,2025,f,5,1876369
benchmark,AUT,2025,f,6,1259250
benchmark,AUT,2025,m,1,250022
benchmark,AUT,2025,m,2,16894
benchmark,AUT,2025,m,3,145314
benchmark,AUT,2025,m,4,584377
benchmark,AUT,2025,m,5,2060713
benchmark,AUT,2025,m,6,1233420
benchmark,AUT,2030,f,1,34452
benchmark,AUT,2030,f,2,23316
benchmark,AUT,2030,f,3,207951
benchmark,AUT,2030,f,4,763194
benchmark,AUT,2030,f,5,1977460
benchmark,AUT,2030,f,6,1447770
benchmark,AUT,2030,m,1,31842
benchmark,AUT,2030,m,2,19951
benchmark,AUT,2030,m,3,132523
benchmark,AUT,2030,m,4,604070
benchmark,AUT,2030,m,5,2144474
benchmark,AUT,2030,m,6,1392735
benchmark,AUT,2035,f,1,33893
benchmark,AUT,2035,f,2,25025
benchmark,AUT,2035,f,3,162886
benchmark,AUT,2035,f,4,710331
benchmark,AUT,2035,f,5,1969011
benchmark,AUT,2035,f,6,1566544
benchmark,AUT,2035,m,1,30195
benchmark,AUT,2035,m,2,22260
benchmark,AUT,2035,m,3,120592
benchmark,AUT,2035,m,4,579909
benchmark,AUT,2035,m,5,2122699
benchmark,AUT,2035,m,6,1473037
benchmark,AUT,2040,f,1,40032
benchmark,AUT,2040,f,2,27039
benchmark,AUT,2040,f,3,129383
benchmark,AUT,2040,f,4,648506
benchmark,AUT,2040,f,5,1940060
benchmark,AUT,2040,f,6,1695543
benchmark,AUT,2040,m,1,35687
benchmark,AUT,2040,m,2,25011
benchmark,AUT,2040,m,3,114907
benchmark,AUT,2040,m,4,545741
benchmark,AUT,2040,m,5,2090724
benchmark,AUT,2040,m,6,1560415
benchmark,AUT,2045,f,1,45935
benchmark,AUT,2045,f,2,29607
benchmark,AUT,2045,f,3,108473
benchmark,AUT,2045,f,4,588264
benchmark,AUT,2045,f,5,1895948
benchmark,AUT,2045,f,6,1832413
benchmark,AUT,2045,m,1,40623
benchmark,AUT,2045,m,2,28505
benchmark,AUT,2045,m,3,115770
benchmark,AUT,2045,m,4,511998
benchmark,AUT,2045,m,5,2050698
benchmark,AUT,2045,m,6,1657169
benchmark,AUT,2050,f,1,51641
benchmark,AUT,2050,f,2,32603
benchmark,AUT,2050,f,3,97079
benchmark,AUT,2050,f,4,532091
benchmark,AUT,2050,f,5,1841026
benchmark,AUT,2050,f,6,1971570
benchmark,AUT,2050,m,1,45168
benchmark,AUT,2050,m,2,32480
benchmark,AUT,2050,m,3,120420
benchmark,AUT,2050,m,4,482772
benchmark,AUT,2050,m,5,2004231
benchmark,AUT,2050,m,6,1759877
benchmark,BEL,2015,f,1,934365
benchmark,BEL,2015,f,2,130837
benchmark,BEL,2015,f,3,579675
benchmark,BEL,2015,f,4,1116088
benchmark,BEL,2015,f,5,1288963
benchmark,BEL,2015,f,6,1399379
benchmark,BEL,2015,m,1,978337
benchmark,BEL,2015,m,2,103446
benchmark,BEL,2015,m,3,460282
benchmark,BEL,2015,m,4,1129783
benchmark,BEL,2015,m,5,1373833
benchmark,BEL,2015,m,6,1224412
benchmark,BEL,2020,f,1,697464
benchmark,BEL,2020,f,2,117968
benchmark,BEL,2020,f,3,514471
benchmark,BEL,2020,f,4,1121925
benchmark,BEL,2020,f,5,1599872
benchmark,BEL,2020,f,6,1530025
benchmark,BEL,2020,m,1,729619
benchmark,BEL,2020,m,2,94336
benchmark,BEL,2020,m,3,408392
benchmark,BEL,2020,m,4,1232800
benchmark,BEL,2020,m,5,1581073
benchmark,BEL,2020,m,6,1428503
benchmark,BEL,2025,f,1,406233
benchmark,BEL,2025,f,2,111868
benchmark,BEL,2025,f,3,467518
benchmark,BEL,2025,f,4,1145215
benchmark,BEL,2025,f,5,1852872
benchmark,BEL,2025,f,6,1734603
benchmark,BEL,2025,m,1,420211
benchmark,BEL,2025,m,2,93033
benchmark,BEL,2025,m,3,388120
benchmark,BEL,2025,m,4,1137632
benchmark,BEL,2025,m,5,1909432
benchmark,BEL,2025,m,6,1734173
benchmark,BEL,2030,f,1,93028
benchmark,BEL,2030,f,2,110955
benchmark,BEL,2030,f,3,426514
benchmark,BEL,2030,f,4,1135615
benchmark,BEL,2030,f,5,2112429
benchmark,BEL,2030,f,6,1990903
benchmark,BEL,2030,m,1,84960
benchmark,BEL,2030,m,2,96469
benchmark,BEL,2030,m,3,368992
benchmark,BEL,2030,m,4,1144156
benchmark,BEL,2030,m,5,2125026
benchmark,BEL,2030,m,6,2066860
benchmark,BEL,2035,f,1,99534
benchmark,BEL,2035,f,2,111084
benchmark,BEL,2035,f,3,385645
benchmark,BEL,2035,f,4,1063564
benchmark,BEL,2035,f,5,2249484
benchmark,BEL,2035,f,6,2138972
benchmark,BEL,2035,m,1,84789
benchmark,BEL,2035,m,2,99897
benchmark,BEL,2035,m,3,344721
benchmark,BEL,2035,m,4,1088497
benchmark,BEL,2035,m,5,2255323
benchmark,BEL,2035,m,6,2230054
benchmark,BEL,2040,f,1,112696
benchmark,BEL,2040,f,2,115225
benchmark,BEL,2040,f,3,352053
benchmark,BEL,2040,f,4,993527
benchmark,BEL,2040,f,5,2357624
benchmark,BEL,2040,f,6,2327964
benchmark,BEL,2040,m,1,93039
benchmark,BEL,2040,m,2,106070
benchmark,BEL,2040,m,3,324653
benchmark,BEL,2040,m,4,1029219
benchmark,BEL,2040,m,5,2361702
benchmark,BEL,2040,m,6,2427187
benchmark,BEL,2045,f,1,123247
benchmark,BEL,2045,f,2,124592
benchmark,BEL,2045,f,3,328978
benchmark,BEL,2045,f,4,925964
benchmark,BEL,2045,f,5,2458740
benchmark,BEL,2045,f,6,2544797
benchmark,BEL,2045,m,1,99244
benchmark,BEL,2045,m,2,116025
benchmark,BEL,2045,m,3,312259
benchmark,BEL,2045,m,4,969525
benchmark,BEL,2045,m,5,2463088
benchmark,BEL,2045,m,6,2651721
benchmark,BEL,2050,f,1,131824
benchmark,BEL,2050,f,2,138932
benchmark,BEL,2050,f,3,317198
benchmark,BEL,2050,f,4,877109
benchmark,BEL,2050,f,5,2551648
benchmark,BEL,2050,f,6,2775088
benchmark,BEL,2050,m,1,104168
benchmark,BEL,2050,m,2,129389
benchmark,BEL,2050,m,3,308004
benchmark,BEL,2050,m,4,924669
benchmark,BEL,2050,m,5,2559932
benchmark,BEL,2050,m,6,2891386
benchmark,BGR,2015,f,1,484902
benchmark,BGR,2015,f,2,94290
benchmark,BGR,2015,f,3,219864
benchmark,BGR,2015,f,4,761178
benchmark,BGR,2015,f,5,1317823
benchmark,BGR,2015,f,6,819146
benchmark,BGR,2015,m,1,513307
benchmark,BGR,2015,m,2,54214
benchmark,BGR,2015,m,3,127890
benchmark,BGR,2015,m,4,746133
benchmark,BGR,2015,m,5,1468369
benchmark,BGR,2015,m,6,588631
benchmark,BGR,2020,f,1,332457
benchmark,BGR,2020,f,2,70646
benchmark,BGR,2020,f,3,161725
benchmark,BGR,2020,f,4,673876
benchmark,BGR,2020,f,5,1354562
benchmark,BGR,2020,f,6,929667
benchmark,BGR,2020,m,1,352566
benchmark,BGR,2020,m,2,42307
benchmark,BGR,2020,m,3,98697
benchmark,BGR,2020,m,4,663433
benchmark,BGR,2020,m,5,1509556
benchmark,BGR,2020,m,6,666641
benchmark,BGR,2025,f,1,169972
benchmark,BGR,2025,f,2,66100
benchmark,BGR,2025,f,3,146217
benchmark,BGR,2025,f,4,604568
benchmark,BGR,2025,f,5,1385625
benchmark,BGR,2025,f,6,976666
benchmark,BGR,2025,m,1,179285
benchmark,BGR,2025,m,2,44657
benchmark,BGR,2025,m,3,101898
benchmark,BGR,2025,m,4,604078
benchmark,BGR,2025,m,5,1530262
benchmark,BGR,2025,m,6,705651
benchmark,BGR,2030,f,1,18865
benchmark,BGR,2030,f,2,60643
benchmark,BGR,2030,f,3,129856
benchmark,BGR,2030,f,4,533241
benchmark,BGR,2030,f,5,1405880
benchmark,BGR,2030,f,6,1036558
benchmark,BGR,2030,m,1,17930
benchmark,BGR,2030,m,2,44794
benchmark,BGR,2030,m,3,98533
benchmark,BGR,2030,m,4,539411
benchmark,BGR,2030,m,5,1554981
benchmark,BGR,2030,m,6,753470
benchmark,BGR,2035,f,1,19549
benchmark,BGR,2035,f,2,54161
benchmark,BGR,2035,f,3,115388
benchmark,BGR,2035,f,4,451824
benchmark,BGR,2035,f,5,1346975
benchmark,BGR,2035,f,6,1045868
benchmark,BGR,2035,m,1,18608
benchmark,BGR,2035,m,2,41830
benchmark,BGR,2035,m,3,91703
benchmark,BGR,2035,m,4,459739
benchmark,BGR,2035,m,5,1504110
benchmark,BGR,2035,m,6,751390
benchmark,BGR,2040,f,1,19989
