scenario,dest,year,sex,nativity,pop
benchmark,AUT,2015,f,eu,356127
benchmark,AUT,2015,f,native,3615520
benchmark,AUT,2015,f,non-eu,371965
benchmark,AUT,2015,m,eu,296247
benchmark,AUT,2015,m,native,3484806
benchmark,AUT,2015,m,non-eu,368890
benchmark,AUT,2020,f,eu,345414
benchmark,AUT,2020,f,native,3614443
benchmark,AUT,2020,f,non-eu,432114
benchmark,AUT,2020,m,eu,300081
benchmark,AUT,2020,m,native,3512697
benchmark,AUT,2020,m,non-eu,422908
benchmark,AUT,2025,f,eu,332970
benchmark,AUT,2025,f,native,3609041
benchmark,AUT,2025,f,non-eu,487812
benchmark,AUT,2025,m,eu,298271
benchmark,AUT,2025,m,native,3519846
benchmark,AUT,2025,m,non-eu,472623
benchmark,AUT,2030,f,eu,316772
benchmark,AUT,2030,f,native,3594907
benchmark,AUT,2030,f,non-eu,542464
benchmark,AUT,2030,m,eu,291184
benchmark,AUT,2030,m,native,3511748
benchmark,AUT,2030,m,non-eu,522663
benchmark,AUT,2035,f,eu,298879
benchmark,AUT,2035,f,native,3571039
benchmark,AUT,2035,f,non-eu,597772
benchmark,AUT,2035,m,eu,281168
benchmark,AUT,2035,m,native,3492159
benchmark,AUT,2035,m,non-eu,575365
benchmark,AUT,2040,f,eu,280403
benchmark,AUT,2040,f,native,3543877
benchmark,AUT,2040,f,non-eu,656283
benchmark,AUT,2040,m,eu,269291
benchmark,AUT,2040,m,native,3469061
benchmark,AUT,2040,m,non-eu,634133
benchmark,AUT,2045,f,eu,261479
benchmark,AUT,2045,f,native,3518560
benchmark,AUT,2045,f,non-eu,720601
benchmark,AUT,2045,m,eu,255588
benchmark,AUT,2045,m,native,3446869
benchmark,AUT,2045,m,non-eu,702306
benchmark,AUT,2050,f,eu,242011
benchmark,AUT,2050,f,native,3491862
benchmark,AUT,2050,f,non-eu,792137
benchmark,AUT,2050,m,eu,240052
benchmark,AUT,2050,m,native,3423501
benchmark,AUT,2050,m,non-eu,781395
benchmark,BEL,2015,f,eu,422698
benchmark,BEL,2015,f,native,4624382
benchmark,BEL,2015,f,non-eu,402227
benchmark,BEL,2015,m,eu,384961
benchmark,BEL,2015,m,native,4481366
benchmark,BEL,2015,m,non-eu,403766
benchmark,BEL,2020,f,eu,409887
benchmark,BEL,2020,f,native,4692385
benchmark,BEL,2020,f,non-eu,479453
benchmark,BEL,2020,m,eu,380362
benchmark,BEL,2020,m,native,4603262
benchmark,BEL,2020,m,non-eu,491099
benchmark,BEL,2025,f,eu,395368
benchmark,BEL,2025,f,native,4757154
benchmark,BEL,2025,f,non-eu,565787
benchmark,BEL,2025,m,eu,372794
benchmark,BEL,2025,m,native,4720177
benchmark,BEL,2025,m,non-eu,589630
benchmark,BEL,2030,f,eu,377469
benchmark,BEL,2030,f,native,4823565
benchmark,BEL,2030,f,non-eu,668410
benchmark,BEL,2030,m,eu,359632
benchmark,BEL,2030,m,native,4820462
benchmark,BEL,2030,m,non-eu,706369
benchmark,BEL,2035,f,eu,357942
benchmark,BEL,2035,f,native,4899878
benchmark,BEL,2035,f,non-eu,790463
benchmark,BEL,2035,m,eu,343395
benchmark,BEL,2035,m,native,4916669
benchmark,BEL,2035,m,non-eu,843217
benchmark,BEL,2040,f,eu,336322
benchmark,BEL,2040,f,native,4989915
benchmark,BEL,2040,f,non-eu,932852
benchmark,BEL,2040,m,eu,324136
benchmark,BEL,2040,m,native,5018029
benchmark,BEL,2040,m,non-eu,999705
benchmark,BEL,2045,f,eu,313463
benchmark,BEL,2045,f,native,5089342
benchmark,BEL,2045,f,non-eu,1103513
benchmark,BEL,2045,m,eu,303169
benchmark,BEL,2045,m,native,5124443
benchmark,BEL,2045,m,non-eu,1184250
benchmark,BEL,2050,f,eu,289871
benchmark,BEL,2050,f,native,5193891
benchmark,BEL,2050,f,non-eu,1308037
benchmark,BEL,2050,m,eu,281179
benchmark,BEL,2050,m,native,5233926
benchmark,BEL,2050,m,non-eu,1402443
benchmark,BGR,2015,f,eu,20573
benchmark,BGR,2015,f,native,3635920
benchmark,BGR,2015,f,non-eu,40710
benchmark,BGR,2015,m,eu,22406
benchmark,BGR,2015,m,native,3441469
benchmark,BGR,2015,m,non-eu,34669
benchmark,BGR,2020,f,eu,20756
benchmark,BGR,2020,f,native,3445934
benchmark,BGR,2020,f,non-eu,56243
benchmark,BGR,2020,m,eu,22407
benchmark,BGR,2020,m,native,3261044
benchmark,BGR,2020,m,non-eu,49749
benchmark,BGR,2025,f,eu,20800
benchmark,BGR,2025,f,native,3263337
benchmark,BGR,2025,f,non-eu,65011
benchmark,BGR,2025,m,eu,22256
benchmark,BGR,2025,m,native,3085544
benchmark,BGR,2025,m,non-eu,58031
benchmark,BGR,2030,f,eu,20702
benchmark,BGR,2030,f,native,3089783
benchmark,BGR,2030,f,non-eu,74558
benchmark,BGR,2030,m,eu,21894
benchmark,BGR,2030,m,native,2920118
benchmark,BGR,2030,m,non-eu,67107
benchmark,BGR,2035,f,eu,20720
benchmark,BGR,2035,f,native,2928190
benchmark,BGR,2035,f,non-eu,84855
benchmark,BGR,2035,m,eu,21685
benchmark,BGR,2035,m,native,2768404
benchmark,BGR,2035,m,non-eu,77291
benchmark,BGR,2040,f,eu,20552
benchmark,BGR,2040,f,native,2781349
benchmark,BGR,2040,f,non-eu,95858
benchmark,BGR,2040,m,eu,21310
benchmark,BGR,2040,m,native,2632372
benchmark,BGR,2040,m,non-eu,88487
benchmark,BGR,2045,f,eu,20363
benchmark,BGR,2045,f,native,2648735
benchmark,BGR,2045,f,non-eu,108057
benchmark,BGR,2045,m,eu,20974
benchmark,BGR,2045,m,native,2509705
benchmark,BGR,2045,m,non-eu,101279
benchmark,BGR,2050,f,eu,19852
benchmark,BGR,2050,f,native,2527826
benchmark,BGR,2050,f,non-eu,121788
benchmark,BGR,2050,m,eu,20373
benchmark,BGR,2050,m,native,2396075
benchmark,BGR,2050,m,non-eu,115901
benchmark,CYP,2015,f,eu,47852
benchmark,CYP,2015,f,native,331240
benchmark,CYP,2015,f,non-eu,48304
benchmark,CYP,2015,m,eu,44919
benchmark,CYP,2015,m,native,328788
benchmark,CYP,2015,m,non-eu,29472
benchmark,CYP,2020,f,eu,50842
benchmark,CYP,2020,f,native,335581
benchmark,CYP,2020,f,non-eu,67487
benchmark,CYP,2020,m,eu,47047
benchmark,CYP,2020,m,native,331926
benchmark,CYP,2020,m,non-eu,49068
benchmark,CYP,2025,f,eu,52362
benchmark,CYP,2025,f,native,339878
benchmark,CYP,2025,f,non-eu,81256
benchmark,CYP,2025,m,eu,48212
benchmark,CYP,2025,m,native,335969
benchmark,CYP,2025,m,non-eu,63151
benchmark,CYP,2030,f,eu,52321
benchmark,CYP,2030,f,native,342258
benchmark,CYP,2030,f,non-eu,96278
benchmark,CYP,2030,m,eu,48264
benchmark,CYP,2030,m,native,338116
benchmark,CYP,2030,m,non-eu,78780
benchmark,CYP,2035,f,eu,51308
benchmark,CYP,2035,f,native,343528
benchmark,CYP,2035,f,non-eu,112534
benchmark,CYP,2035,m,eu,47670
benchmark,CYP,2035,m,native,339184
benchmark,CYP,2035,m,non-eu,95989
benchmark,CYP,2040,f,eu,49496
benchmark,CYP,2040,f,native,344815
benchmark,CYP,2040,f,non-eu,130120
benchmark,CYP,2040,m,eu,46465
benchmark,CYP,2040,m,native,340553
benchmark,CYP,2040,m,non-eu,114821
benchmark,CYP,2045,f,eu,47166
benchmark,CYP,2045,f,native,346869
benchmark,CYP,2045,f,non-eu,149266
benchmark,CYP,2045,m,eu,44840
benchmark,CYP,2045,m,native,343123
benchmark,CYP,2045,m,non-eu,135612
benchmark,CYP,2050,f,eu,44413
benchmark,CYP,2050,f,native,349670
benchmark,CYP,2050,f,non-eu,169872
benchmark,CYP,2050,m,eu,42798
benchmark,CYP,2050,m,native,346951
benchmark,CYP,2050,m,non-eu,158266
benchmark,CZE,2015,f,eu,61673
benchmark,CZE,2015,f,native,5059751
benchmark,CZE,2015,f,non-eu,106990
benchmark,CZE,2015,m,eu,93234
benchmark,CZE,2015,m,native,4811877
benchmark,CZE,2015,m,non-eu,129727
benchmark,CZE,2020,f,eu,65876
benchmark,CZE,2020,f,native,5026220
benchmark,CZE,2020,f,non-eu,140261
benchmark,CZE,2020,m,eu,91948
benchmark,CZE,2020,m,native,4781306
benchmark,CZE,2020,m,non-eu,161542
benchmark,CZE,2025,f,eu,68288
benchmark,CZE,2025,f,native,4964609
benchmark,CZE,2025,f,non-eu,168385
benchmark,CZE,2025,m,eu,89294
benchmark,CZE,2025,m,native,4713246
benchmark,CZE,2025,m,non-eu,189513
benchmark,CZE,2030,f,eu,68934
benchmark,CZE,2030,f,native,4872889
benchmark,CZE,2030,f,non-eu,196810
benchmark,CZE,2030,m,eu,85415
benchmark,CZE,2030,m,native,4614564
benchmark,CZE,2030,m,non-eu,218503
benchmark,CZE,2035,f,eu,68337
benchmark,CZE,2035,f,native,4762084
benchmark,CZE,2035,f,non-eu,224438
benchmark,CZE,2035,m,eu,80860
benchmark,CZE,2035,m,native,4503237
